flight_number,airline,dep_delay,arr_delay,flight_status,checked_at
AA2062,American Airlines,11,0.0,landed,2026-09-17T21:18:50.438819
AA2341,American Airlines,10,0.0,landed,2026-09-17T21:18:50.438827
DL2428,Delta Air Lines,18,0.0,landed,2026-09-17T21:18:50.438835
VS4334,Virgin Atlantic,18,0.0,landed,2026-09-17T21:18:50.438841
SV4346,Saudia,18,0.0,landed,2026-09-17T21:18:50.438848
SK3627,SAS,18,0.0,landed,2026-09-17T21:18:50.438855
LY4563,El Al,18,0.0,landed,2026-09-17T21:18:50.438864
LA6690,LATAM Airlines,18,0.0,landed,2026-09-17T21:18:50.438871
KQ7075,Kenya Airways,18,0.0,landed,2026-09-17T21:18:50.438879
KL7649,KLM,18,0.0,landed,2026-09-17T21:18:50.438886
KE7544,Korean Air,18,0.0,landed,2026-09-17T21:18:50.438891
AR7029,Aerolineas Argentinas,18,0.0,landed,2026-09-17T21:18:50.438898
AA525,American Airlines,15,0.0,landed,2026-09-17T21:18:50.438905
QR2937,Qatar Airways,15,0.0,landed,2026-09-17T21:18:50.438911
MH9341,Malaysia Airlines,15,0.0,landed,2026-09-17T21:18:50.438919
G36316,GOL,15,0.0,landed,2026-09-17T21:18:50.438925
BA4968,British Airways,15,0.0,landed,2026-09-17T21:18:50.438932
AT5074,Royal Air Maroc,15,0.0,landed,2026-09-17T21:18:50.438939
